First Name,Last Name,Date of Birth,Identification,Address,Phone Number,Checking Account,Savings Account,Credit Account,Checking Balance,Savings Balance,Credit Balance

Aaron,Alarcon,"October 16, 1965",38,""1315 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4638,1037,2037,3037,709.44,1053.42,-1343.96
Aladdin,Disney,"June 12, 1963",11,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1010,2010,3010,914.78,4724.4,-1392.51
Ana,Mata Sanchez,"September 29, 1945",51,""500 W. University Ave, El Paso, TX 79968"",(915) 747-5000,1050,2050,3050,730.52,1445.42,-1399.14
Anakin,Skywalker,"April 7, 1978",101,""539 W. University Ave, El Paso, TX 79968"",(915) 747-5039,1100,2100,3100,1266.59,3447.18,-211.38
Anthony,Herrera,"December 4, 1993",48,""500 W. University Ave, El Paso, TX 79968"",(915) 747-5000,1047,2047,3047,852.59,2082.11,-1500.11
Ariel,Disney,"January 24, 2006",9,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1008,2008,3008,1762.41,588.85,-381.05
Aurora,Disney,"July 10, 1965",14,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1013,2013,3013,369.38,3144.46,-175.39
Beast,Disney,"April 5, 1943",20,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1019,2019,3019,1828.34,1904.26,-1163.95
Belle,Disney,"November 22, 1996",21,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1020,2020,3020,824.11,47.39,-1108.47
Bryan,Molina,"December 4, 1984",52,""500 W. University Ave, El Paso, TX 79968"",(915) 747-5000,1051,2051,3051,1286.64,2293.47,-341.37
Bryant,Allsup,"October 24, 1965",39,""1316 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4639,1038,2038,3038,1340.54,2903.33,-1198.99
Buzz,Lightyear,"February 12, 2015",17,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1016,2016,3016,1261.22,998.8,-502.43
C,3PO,"May 8, 1970",100,""538 W. University Ave, El Paso, TX 79968"",(915) 747-5038,1099,2099,3099,1516.58,3906.77,-1349.54
Captain,America,"November 2, 1937",92,""530 W. University Ave, El Paso, TX 79968"",(915) 747-5030,1091,2091,3091,579.94,276.9,-1393.02
Captain,Hook,"January 6, 1944",27,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1026,2026,3026,1633.77,1170.74,-1242.81
Cesar,Padron,"May 6, 1982",54,""500 W. University Ave, El Paso, TX 79968"",(915) 747-5000,1053,2053,3053,1125.84,188.04,-218.33
Chip,Disney,"December 25, 1996",6,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1005,2005,3005,1369.24,4788.93,-1936.34
Cinderella,Disney,"May 20, 1992",8,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1007,2007,3007,614.22,1240.63,-928.28
Cruella,De Vil,"April 15, 2019",22,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1021,2021,3021,975.82,3506.75,-1671.2
Dale,Disney,"September 15, 1969",7,""1313 Disneyland Dr, Anaheim, CA 92802"",(714) 781-4636,1006,2006,3006,1040.16,4372.72,-707.8
Daniel,A,"April 4, 1961",63,""501 W. University Ave, El Paso, TX 79968"",(915) 747-5001,1062,2062,3062,1340.62,1077.89,-282.62
Daniel,B,"October 3, 1955",64,""502 W. University Ave, El Paso, TX 79968"",(915) 747-5002,1063,2063,3063,1254.89,1138.63,-2.39
Daniel,C,"March 14, 1970",65,""503 W. University Ave, El Paso, TX 79968"",(915) 747-5003,1064,2064,3064,526.75,769.89,-1328.78
